name,food_id,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,fit
廣東泡菜,30494,2.5319858,-1.8301815,0.10710101,1.3788049,-1.3202431,-0.20705123,-1.1743498,0.90018696,0.074280664,-2.333025,3.063211,-0.47163203,-0.6697366,-1.2411577,2.29167,2.1122396,1.7368008,0.4234004322295253,1.5806815062236366,0.9355018147621981,-2.4203432968419465,0.9850213681061386,1
韓式蘿蔔絲,30495,1.4225616,-2.2247536,0.59473175,0.6762576,-1.299526,-0.30799735,-1.7412542,0.33186144,0.8949448,-2.6667776,2.9254467,0.6792756,-0.6223049,-1.3260498,1.738098,2.1481779,1.7190996,0.5101282535772881,0.9499424366464502,-0.5728656976060857,-1.9909399067441884,0.7042677194526927,1
酸甜佛手瓜,30496,1.6463326,-2.4230309,-0.16358145,0.9670764,-1.6099886,-0.56274027,-1.2750937,1.1904972,0.38165537,-3.042541,2.4008603,0.09194468,-0.83962595,-2.0138323,2.5704403,2.3397183,2.1430013,-0.13120061288484886,1.2835607342316224,-0.31136046634483294,-3.3424392318016984,1.0704522743954317,1
蹄膀筍乾,30497,1.4348297,-2.0863051,-0.70229006,2.488829,-0.0033369884,-0.34992754,0.5991637,-1.593172,1.3389261,-1.8341122,1.9312496,-1.2140396,0.15342887,-1.0145527,-0.1978756,3.4967303,0.046015967,-2.024828833421826,0.30178158270615074,0.8163276738131655,1.5214910439424636,0.5715196117200967,1
溫拌越瓜,30498,1.9149396,-0.13539751,0.8461275,1.2118715,-1.6952496,0.4230123,0.32404062,0.36253867,-0.6673434,-2.0447638,2.2545073,-0.42957273,-0.44148004,-0.8732434,0.64191383,2.031029,1.7462072,1.1881041280635054,-0.2083994942566466,2.1352589601105025,-1.4286439477885573,0.06905913288720361,1
日式雞肉燉煮,30499,3.3561025,-3.1665878,-0.9585081,1.0735805,0.8118425,1.5867529,-0.09831538,-0.1237007,0.82779205,-0.1701134,2.2417488,-0.8482433,-1.3526242,-1.315709,1.3404882,3.6106517,1.1878799,-1.4332533452116047,2.409659008248271,2.3871074518012065,0.6364337289589838,1.2876909157486984,1
蕈菇雞肉卷,30500,0.32537234,-0.7143826,-0.46149117,0.6911418,-0.09055845,0.98723656,0.83872896,-1.389398,0.16777325,-2.4004683,2.1113257,0.42683765,-1.0191178,-0.2165991,0.6228591,3.765867,1.9757899,-0.5951055065629487,-1.276633808206754,0.7540841162476455,0.04050740049453527,-0.8129919364799828,2
奶油蘑菇小牛肉,30501,-0.4813941,-1.642216,-1.8386433,0.453786,-0.59692496,-0.55993545,2.236362,-1.8012452,2.1739373,-4.209469,2.4198604,0.5834939,-1.0697204,-2.7162933,0.3862826,4.4077497,2.972096,-3.3366003121885788,-3.3480987480251505,-1.4256296839416567,-0.886010733168528,1.1338423825395667,2
茄汁燒中卷,30502,0.1995451,-2.195262,-1.0531117,1.3202224,-0.4388241,0.73989874,2.7748408,-0.5889017,1.6784995,-2.2257655,1.192872,0.74843013,-1.0764843,-1.1057271,-0.51380986,3.2865174,2.5483136,-2.722485535925398,-1.393136240183321,1.05429889132212,-0.07766417447410123,0.16192394472213423,2
薑燒豬排,30503,-0.18489137,-0.023699323,-0.772047,0.8320815,-0.6878813,-0.16123408,0.53420156,-0.50187296,1.7629179,-2.2969022,3.7818856,0.9548634,-0.6145193,-0.91485155,1.2667145,4.017749,1.9191153,-0.7454432113006739,-2.010768682845959,-0.08695729782885994,-0.9685273518028579,0.6971570803204906,1
野菇迷迭,30504,0.49146658,-3.0443718,-0.28325012,1.7337474,0.7577682,0.7288824,0.7229941,0.31936443,1.4472922,-0.926753,2.5389526,1.3419834,-2.8892188,-1.5252551,1.0017895,1.9767255,1.33242,-1.4089014290814879,1.8924792890887108,0.07848943266385477,-0.07348148696218013,1.152371760879864,1
沙嗲雞柳,30505,-0.38628465,-1.6529912,-1.3551136,0.4049856,-1.0739471,-0.69359964,1.0794716,-0.2837708,2.119424,-4.111784,2.3857775,0.61525434,0.5071137,-2.2978868,0.51250744,2.9645333,2.0997686,-2.222571144458055,-2.375641454466274,-1.0423347757300025,-1.591182985529417,0.8185744129885082,2
炸菜丸,30506,-0.6022633,-1.461007,-0.87425655,1.2566266,-0.6172617,0.79362184,-0.022550605,-0.6516589,-0.46285364,-2.3185806,2.0635936,-0.5067341,-0.49816465,-0.23530634,0.8507273,2.1396003,1.6892788,-0.2852056013213539,-0.08411655301378128,0.34107633834918943,-0.7429902376934114,-1.8197381620337505,1
絲瓜鑲蝦肉,30507,-1.0761837,-2.4463587,-1.209468,1.3096986,-1.8928775,0.22118098,-0.052881844,-1.428803,0.5182224,-2.7883618,2.1352887,1.481817,-0.6348803,-0.12495701,1.6951168,2.9194508,2.3964436,-1.167332098947635,-0.4116239188816647,-1.2839334851773887,-1.8386558827661723,-1.6947194332503914,2
黑胡椒牛肉丸,30508,-1.0044088,-1.579478,-0.6518225,1.1641728,-1.1566159,0.14887536,-0.31685776,-0.29496896,0.10442988,-2.2165055,3.302506,0.66997,-0.9159758,-0.46336156,1.8526114,2.430525,1.5183296,-0.14639795497710492,0.0731597389271768,-0.7617464796647127,-1.5389103590893396,-1.049440769315241,3
蔬菜鮭魚卷,30509,0.8282439,-1.8347912,-0.85056794,-0.5125084,-0.5433801,0.8335275,-0.45478263,-1.4399033,0.377778,-1.5568664,2.1336424,0.1652352,-2.1186433,0.20577362,1.6331314,2.8171368,2.8841605,0.5424472606966699,0.10562732888914073,0.0713180440935216,-0.5786135413352171,-0.7566693189462645,1
檸樂豬排,30510,0.7025126,0.7895052,0.43061474,-0.58565897,-1.3512326,0.50332516,1.1338167,-0.86653996,1.2944967,-1.6616503,2.8670502,-0.6641048,0.9972954,-1.2391119,-0.34854215,3.101821,1.5955232,0.8601033020812475,-3.156875013247694,1.6862279366071748,0.4127453803211261,0.5063613298802029,3
蝦醬四季豆,30511,0.19755322,-3.8011262,-1.0682112,2.678334,-0.9580426,-0.43895653,0.54825073,-0.5591643,1.5867304,-2.4474266,2.1033642,-0.35871983,0.17761485,-1.1102594,-0.3179495,3.996434,1.8743525,-3.4795914682939086,0.029089080840460746,-0.047964601362089965,-0.4058167897158489,-0.3500879726555036,2
豆瓣醬炒素八寶,30512,0.16869387,-3.0056627,-1.6241539,2.0000424,-0.27870312,-0.44774732,0.8521038,-1.1146448,1.5902936,-2.998992,0.80372345,-0.017527424,-0.23091766,-0.84345,-0.2699894,3.910825,1.0667112,-3.2170839935862237,-0.21162348758656502,-0.39931375688094123,0.28506155071827943,-0.2905312753401728,2
免治豬肉馬鈴薯,30513,-0.04894691,-2.5946388,-2.3316588,1.56489,0.41588825,0.44603458,1.3602458,-1.8820074,0.96003866,-2.9755676,2.0022128,0.21751119,-0.8560366,-1.1428039,0.9505187,3.9730108,-0.11007346,-3.252174678682211,0.006216406835313548,-0.6991931730416208,0.9713464015116247,-0.20442880892034587,2
